NomeMunicipio ; UF ; OrgaoSuperior ; SituacaoConvenio ; ValorConvenio ; ValorLiberado ; ObjetoConvenio;;;;;
EXTERIOR ; EXTERIOR ; MINISTERIO DAS RELACOES EXTERIORES ; Concluido ; 95403.47 ; 95403.47 ; DIFUSAO DA LINGUA PORTUGUESA E DA CULTURA BRASILEIRA NA VENEZUELA.;;;;;
EXTERIOR ; EXTERIOR ; MINISTERIO DAS RELACOES EXTERIORES ; Concluido ; 30000.00 ; 5998.69 ; IMPLEMENTACAO DE PONTO DE CULTURA DO SUL DA FLORIDA - FORT LAUDERDALE.EUA. VISANDO A PRESERVACAO. O DESENVOLVIMENTO E A DIFUSAO DA CULTURA  BRASILEIRA EM TODA A SUA DIVERSIDADE.;;;;;
EXTERIOR ; EXTERIOR ; MINISTERIO DAS RELACOES EXTERIORES ; Concluido ; 56167.62 ; 56167.62 ; COLABORACAO ENTRE A EMBAIXADA DO BRASIL EM SAO JOSE E A FUNDACAO DE   CULTURA. DIFUSAO E ESTUDOS BRASILEIROS PARA EXECUTAR PROGRAMAS. PROJE-TOS E EVENTOS DE INTERESSE RECIPROCO. E VIABILIZAR A OPERACAO E AS    ATIVIDADES ESTATUTARIAS DA FCDEB: DIFUSAO E ENSINO DO IDIOMA PORTU-   GUES. DIVULGACAO DA CULTURA E DAS ARTES BRASILEIRAS. REALIZACAO DE SE-MINARIOS. MOSTRAS. EXPOSICOES. SIMPOSIOS. FESTIVAIS E ATIVIDADES SEME-;;;;;
EXTERIOR ; EXTERIOR ; MINISTERIO DAS RELACOES EXTERIORES ; Concluido ; 118907.00 ; 118907.00 ; DIFUSAO E ENSINO DO IDIOMA PORTUGUES;DIVULGACAO DA CULTURA E DAS ARTESBRASILEIRAS; PROMOcaO E DIVULGACAO DE ESTUDOS E PESQUISAS SOBRE A CUL-TURA DO BRASIL; PRESERVACAO DAS TRADICOES E DA HISTORIA DO BRASIL NO  URUGUAI;MANUTENCAO DE BIBLIOTECA PARA CONSULTAS E EMPRESTIMOS DE OBRASAO PUBLICO;E REALIZACAO DE SEMINARIOS. MOSTRAS. EXPOSICOES. SIMPOSIOS.FESTIVAIS E ASSEMELHADOS PARA A CONSECUCAO DAS ATIVIDADES DESCRITAS.
EXTERIOR ; EXTERIOR ; MINISTERIO DAS RELACOES EXTERIORES ; Concluido ; 13000.00 ; 13000.00 ; CONVENIO DE COOPERACAO PARA CAPACITACAO EM LINGUA PORTUGUESA E CULTURABRASILEIRA DE PARLAMENTARES. ASSESSORES E FUNCIONARIOS DA CAMARA E DO SENADO ARGENTINOS.;;;;;
EXTERIOR ; EXTERIOR ; MINISTERIO DAS RELACOES EXTERIORES ; Concluido ; 18042.16 ; 18042.16 ; COLABORACAO ENTRE A EMBAIXADA E A FUNDACAO CENTRO DE ESTUDOS BRASILEI-ROS PARA EXECUTAR PROGRAMAS. PROJETOS E EVENTOS DE INTERESSE RECIPROCOE VIABILIZAR A OPERACAO E AS ATIVIDADES ESTATUTARIAS DA FUNDACAO  CEN-TRO DE ESTUDOS: DIFUSAO E O ENSINO DO IDIOMA PORTUGUES. DIVULGACAO DA CULTURA E DAS ARTES BRASILEIRAS. REALIZACAO DE SEMINARIOS. MOSTRAS.EX-POSICOES. SIMPOSIOS. FESTIVAIS E ATIVIDADES SEMELHANTES.;;;;;
EXTERIOR ; EXTERIOR ; MINISTERIO DAS RELACOES EXTERIORES ; Concluido ; 58955.00 ; 58955.00 ; DIFUSAO E ENSINO DO IDIOMA PORTUGUES. DIVULGACAO DA CULTURA E DAS AR- TES BRASILEIRAS. PROMOCAO E DIVULGACAO DE ESTUDOS E PESQUISAS SOBRE A CULTURA DO BRASIL. PRESERVACAO DAS TRADICOES E DA HISTORIA DO BRASIL.;;;;;
EXTERIOR ; EXTERIOR ; MINISTERIO DAS RELACOES EXTERIORES ; Concluido ; 50500.00 ; 50500.00 ; DIFUSAO DA LINGUA PORTUGUESA E DA CULTURA BRASILEIRA NA VENEZUELA.;;;;;
EXTERIOR ; EXTERIOR ; MINISTERIO DAS RELACOES EXTERIORES ; Concluido ; 203166.24 ; 203166.24 ; COLABORACAO ENTRE A EMBAIXADA E O IBEC PARA EXECUTAR PROGRAMAS. PROJE-TOS E EVENTOS DE INTERESSE RECIPROCO E. VIABILIZA A OPERACAO E AS ATI-VIDADES ESTATUTARIAS DO INSTITUTO: DIFUSAO E ENSINO DO IDIOMA PORTUGUES. DIVULGACAO DA CULTURA E DAS ARTES BRASILEIRAS. PROMOCAO E DIVULGA- CAO DE ESTUDOS E PESQUISAS SOBRE A CULTURA DO BRASIL. REALIZACAO DE SEMINARIOS. MOSTRAS. EXPOSICOES. SIMPOSIO. FESTIVAIS E ATIVIDADES SEME-;;;;;
EXTERIOR ; EXTERIOR ; MINISTERIO DAS RELACOES EXTERIORES ; Concluido ; 251826.00 ; 251826.00 ; EXECUCAO DE PROGRAMAS. PROJETOS E EVENTOS E VIABILIZACAO DA OPERACAO EDAS ATIVIDADES ESTATUARIAS DO INSTITUTO: DIFUSAO E ENSINO DO IDIOMA   PORTUGUES. FORMACAO E CAPACITACAO DE PROFESSORES DE PORTUGUES. DIVULGACAO DA CULTURA E ARTES BRASILEIRAS.;;;;;
